,knowledge
13955,"Basic dimensions, design and construction details of cargo handling gear"
13956,Hazards of non-compliance with isolating procedures
13957,Guidelines for managing resources and work schedules
13958,Channel management strategies
13959,Features of magnetic compasses
13960,Self-assessment practices and principles
13961,Required details in a prospectus
13962,Methods of managing emergency responses to chemical incidents
13963,Escalator load determination techniques
13964,Leading principles on implementation of operations risk management strategies
13965,Key indicators and metrics for assessing UX
13966,Applications and operational parameters of fused deposition modelling (FDM) machines
13967,The effects of dimensions of service quality on trust in services of the organisation
13968,"New and emerging security system design methodologies, tools and techniques"
13969,Methods and tools for data collection
13970,Procedures for formulating ballast systems
13971,Specialised models including real options
